# precomputed using word2vec. (02-02-29)
# cf. doc2vec folder
#examining	focusing_on
#examining	investigating
example	instance
exceed	surpass
exceeded	surpassed
exceedingly	extremely
exceptionally	unusually
exchanging	sharing
executives	CEOs
exemplified	illustrated
exemplify	illustrate
#expand	enlarge
expand	extend
expanded	broadened
expenditure	spending
expenditures	outlays
experts	specialists
explain	elucidate
explained	described
explains	describes
explication	elaboration
exploit	harness
#explore	discuss
explore	examine
explored	examined
explores	discusses
exploring	examining
exposed	subjected
express	convey
extend	expand
extremely	exceedingly
faced	confronted
facet	aspect
facets	aspects
#facets	dimensions
facilitate	enhance
facilitates	fosters
facilitating	fostering
facilities	services
fairly	quite
family members	relatives
family_members	relatives
favorable	favourable
favoring	favouring
favourable	favorable
favouring	favoring
feature	characteristic
features	elements
feelings	emotions
financed	funded
financing	funding
find	observe
findings	results
finishing	completing
#firms	companies
firms	enterprises
fiscal	budgetary
focuses	concentrates
focuses_on	examines
focusing	focussing
focusing_on	examining
focussing	focusing
formations	structures
forms	modes
formulated	put forward
forwarded	submitted
foster	promote
#fostering	facilitating
#fostering	promoting
fostering	strengthening
fosters	facilitates
#fosters	promotes
fraction	portion
framed	articulated
freedom	liberty
#frequently	commonly
frequently	often
friends	acquaintances
frontiers	borders
fruitful	promising
#frustration	disappointment
frustration	discomfort
fulfil	satisfy
functioned	served
funded	financed
funding	financing
funds	monies
furthermore	moreover
futile	pointless
gap	disparity
#gas	petroleum
gather	collect
gathered	collected
genders	sexes
#generate	create
generate	produce
generated	produced
#generates	creates
generates	produces
generating	producing
geo-political	geopolitical
geographically	spatially
geopolitical	geo-political
give rise	lead
gives	offers
gives rise	leads
global warming	climate_change
goal	aim
#goal	ultimate goal
goals	objectives
goods	commodities
govern	regulate
governed	regulated
governor	mayor
gradually	progressively
greater	higher
greenhouse_gas_emissions	GHG emissions
#groundbreaking	pioneering
groundbreaking	seminal
grouped	categorized
guidance	advice
guided	inspired
guidelines	recommendations
had_been	was
handle	deal with
happens	occurs
happiness	life satisfaction
harness	exploit
hegemonic	dominant
helped	enabled
helpful	useful
helps	enables
hence	consequently
heretofore	hitherto
hesitant	reluctant
heterogeneity	variability
heterogeneous	diverse
high-skilled	highly_skilled
high_levels	higher levels
higher	greater
higher levels	high_levels
#highlight	demonstrate
highlight	illustrate
highlighted	emphasised
highlighting	illustrating
highly skilled	skilled
highly valued	valued
highly_skilled	high-skilled
highway	road
hitherto	heretofore
homogeneity	uniformity
hopelessness	loneliness
hosted	sponsored
huge	tremendous
human_beings	humans
humanities	social_sciences
humanity	humankind
humankind	humanity
humans	human_beings
hurdles	obstacles
idea	notion
identifies	considers
identify	pinpoint
ideologies	discourses
ignored	disregarded
#ignored	overlooked
illustrate	exemplify
#illustrate	highlight
illustrated	exemplified
illustrates	demonstrates
illustrating	highlighting
imbalance	asymmetry
imbalances	asymmetries
immense	enormous
impact	influence
impacted	affected
impacts	effects
implications	ramifications
implies	entails
imply	entail
implying	suggesting
important	crucial
improve	enhance
improves	enhances
improving	enhancing
in-depth interviews	interviews
inadequate	insufficient
inasmuch	insofar
includes	comprises
#includes	contains
#including	as well as
#including	as_well_as
including	such_as
income	earnings
incomes	wages
incorporate	integrate
incorporating	integrating
increased	increasing
increasing	increased
#indicate	show
indicate	suggest
#indicated	reported
indicated	revealed
#indicates	shows
indicates	suggests
indicating	suggesting
indicators	indices
#indicators	measures
indices	indicators
indispensable	essential
individualism	collectivism
individuals	persons
industries	sectors
inequalities	disparities
#inequalities	inequities
inequitable	unequal
inequities	inequalities
inextricable	inseparable
inferences	predictions
influence	impact
influenced	shaped
influencing	affecting
influential	prominent
inherently	intrinsically
#initiated	instigated
initiated	launched
initiatives	projects
innovation	technological innovation
inseparable	inextricable
insofar	inasmuch
inspired	guided
instability	turbulence
instance	example
instances	cases
instigated	initiated
institutional	organisational
institutions	organizations
instructor	teacher
instructors	teachers
insufficient	inadequate
integrate	incorporate
integrates	combines
integrating	incorporating
intends	seeks
inter-cultural	intercultural
inter-generational	intergenerational
inter-governmental	intergovernmental
interactions	relationships
interconnectedness	interdependence
interconnection	interrelationship
intercultural	inter-cultural
interdependence	interconnectedness
interesting	intriguing
intergenerational	inter-generational
intergovernmental	inter-governmental
interplay	interrelationship
interpreted	construed
interrelationship	interconnection
#interrelationship	interplay
interviews	in-depth interviews
intolerance	prejudice
intriguing	interesting
intrinsically	inherently
introduce	incorporate
introduces	presents
investigated	examined
#investigated	studied
#investigating	examining
investigation	examination
involve	entail
involved	engaged
involves	entails
jeopardizing	endangering
job_seekers	jobseekers
jobless	unemployed
jobseekers	job_seekers
justify	legitimize
key	crucial
kind	sort
#kinds	sorts
kinds	types
labeled	labelled
labelled	labeled
laboratories	labs
labs	laboratories
laid_down	stipulated
launched	initiated
laws	regulations
#lead	contribute
lead	give rise
leads	gives rise
learners	students
led	contributed
legitimize	justify
lens	prism
#lessen	diminish
lessen	reduce
liberal	libertarian
liberalisation	deregulation
libertarian	liberal
liberty	freedom
life satisfaction	happiness
life-long	lifelong
life_course	lifecourse
life_satisfaction	subjective well-being
lifecourse	life_course
lifelong	life-long
likelihood	probability
limit	restrict
limitations	shortcomings
limiting	restricting
link between	relationship_between
link_between	relationship between
linkages	connections
#linkages	links
linked	connected
#linked	related
#linked	tied
linking	connecting
links	linkages
live	reside
local governments	local_authorities
local_authorities	local governments
logics	rationalities
loneliness	hopelessness
long-term	longer-term
longer-term	long-term
look_at	consider
low-skilled	unskilled
lowered	reduced
lowers	reduces
macro-economic	macroeconomic
macroeconomic	macro-economic
main	principal
#mainly	mostly
mainly	primarily
maintain	retain
#maintain	sustain
maintains	establishes
#maintains	recognizes
majority	vast majority
many	some
marginalised	disenfranchised
markedly	noticeably
market-based	market-oriented
market-oriented	market-based
maximize	optimize
may be	might_be
may_be	might be
mayor	governor
measured	assessed
measures	indicators
measuring	assessing
mechanisms	processes
meet	satisfy
member states	Member_States
member_states	Member States
mentioned	discussed
merely	simply
method	technique
#methodologies	approaches
methodologies	methods
#methods	methodologies
methods	techniques
might	would
might be	may_be
might_be	may be
migration_flows	migratory flows
migratory flows	migration_flows
milestone	turning point
ministries	departments
mirrored	reflected
misgivings	doubts
mitigate	ameliorate
modes	forms
monies	funds
moreover	furthermore
mostly	mainly
motivate	encourage
motivations	motives
motives	motivations
moved	drifted
multi-dimensional	multidimensional
multi-level	multilevel
multidimensional	multi-dimensional
multilevel	multi-level
multiple	various
#must	shall
must	should
must_be	should be
nations	countries
nearly	almost
necessitate	require
necessitates	requires
needed	required
neglected	overlooked
neighborhood	neighbourhood
neighboring	neighbouring
neighbourhood	neighborhood
neighbouring	neighboring
neo-liberal	neoliberal
neo-liberalism	neoliberalism
neoliberal	neo-liberal
neoliberalism	neo-liberalism
nomenclature	terminology
non-discrimination	nondiscrimination
non-industrialized countries	developing_countries
non-migrants	stayers
non-response	nonresponse
nondiscrimination	non-discrimination
nonresponse	non-response
normally	usually
#noted	pointed out
noted	pointed_out
#noted	stated
#noted	suggested
noticeable	pronounced
noticeably	markedly
noting	pointing out
notion	concept
#notion	conception
#notion	idea
notions	conceptions
numbers	proportions
numerous	several
objectives	goals
#objectives	priorities
obligated	obliged
obligation	duty
obligations	responsibilities
obliged	obligated
observe	find
observed	detected
#obstacles	barriers
obstacles	hurdles
obvious	apparent
occur	take place
#occur	take_place
occurring	taking_place
occurs	happens
#occurs	takes place
#occurs	takes_place
#off	away
#off	down
offer	provide
offered	provided
offering	providing
#offers	gives
offers	provides
officials	authorities
often	frequently
#oil	petroleum
on-going	ongoing
ongoing	on-going
oppose	criticize
optimize	maximize
organisational	institutional
#organisations	agencies
organizations	institutions
orientated	oriented
oriented	orientated
outlays	expenditures
outlined	discussed
outlines	discusses
#overlooked	ignored
overlooked	neglected
overseas	abroad
owing	due
paradoxes	contradictions
paramount_importance	utmost importance
parental_leave	paternity leave
partake	participate
participants	respondents
participate	partake
particularities	specificities
particularly	especially
partnerships	collaborations
paternity leave	parental_leave
paths	pathways
pathways	paths
payment	compensation
payments	subsidies
penalties	sanctions
per cent	percent
per_cent	percent
percent	per cent
#percent	per_cent
percentage	proportion
percentages	proportions
performed	carried out
permitted	allowed
perpetuate	reinforce
perplexing	puzzling
personnel	staff
persons	individuals
perspective	viewpoint
perspectives	viewpoints
pertain	relate
pertaining	relating
pertains	relates
pertinent	relevant
#petroleum	gas
#petroleum	oil
phase	stage
phases	stages
phrase	word
pinpoint	identify
pioneering	groundbreaking
pivotal	decisive
placing	putting
#pointed out	argued
pointed out	noted
pointed_out	noted
pointing out	noting
pointless	futile
policy-making	policymaking
policymaking	policy-making
portion	fraction
portrayed	depicted
posit	argue
#posit	propose
positively correlated	correlated
posits	proposes
post-colonial	postcolonial
post-national	postnational
post-war	postwar
postcolonial	post-colonial
postnational	post-national
postwar	post-war
potent	powerful
powerful	potent
precision	accuracy
precondition	prerequisite
predictions	inferences
predominantly	predominately
predominately	predominantly
prejudice	intolerance
premise	assumption
premised	based
prerequisite	precondition
presently	currently
presents	introduces
presume	assume
presumed	assumed
prevent	deter
previous	earlier
primarily	mainly
principal	main
priorities	objectives
